,customer_Id,DOB,Gender,city_code,Age,transaction_id,tran_date,prod_subcat_code,prod_cat_code_x,Qty,Rate,Tax,total_amt,Store_type,join_key,prod_cat_code_y,prod_cat,prod_sub_cat_code,prod_subcat,flag,AOV
0,268408,1970-01-02,M,Corsica,53.0,87243835584,13-01-2014,7,5,5,187,98.175,1033.175,TeleShop,57,5,Books,7,Fiction,1,206.635
1,275152,1970-01-16,M,Corsica,53.0,73109425404,25-03-2011,7,5,2,464,97.44,1025.44,e-Shop,57,5,Books,7,Fiction,1,512.72
2,275034,1970-01-18,F,Corsica,53.0,64777271023,23-05-2011,7,5,2,197,41.37,435.37,Flagship store,57,5,Books,7,Fiction,1,217.685
3,270829,1970-01-22,F,Pays de la Loire,53.0,87174343938,9/12/2013,7,5,4,1141,479.22,5043.22,e-Shop,57,5,Books,7,Fiction,1,1260.805
4,267657,1970-01-29,F,Occitanie,53.0,76242744953,23-05-2013,7,5,4,1020,428.4,4508.4,e-Shop,57,5,Books,7,Fiction,1,1127.1
5,274630,1970-02-01,M,Corsica,53.0,78357345891,11/4/2012,7,5,1,646,67.83,713.83,TeleShop,57,5,Books,7,Fiction,1,713.83
6,273541,1970-02-01,M,Corsica,53.0,23916816961,9/2/2013,7,5,4,410,172.2,1812.2,e-Shop,57,5,Books,7,Fiction,1,453.05
7,269008,1970-02-13,F,Normandie,53.0,35560569829,9/3/2013,7,5,1,1441,151.305,1592.305,e-Shop,57,5,Books,7,Fiction,1,1592.305
8,269008,1970-02-13,F,Normandie,53.0,94033312891,26-04-2012,7,5,5,746,391.65,4121.65,MBR,57,5,Books,7,Fiction,1,824.3299999999999
10,272883,1970-02-19,M,Grand Est,53.0,35308880657,1/12/2013,7,5,-4,-1161,487.62,-5131.62,TeleShop,57,5,Books,7,Fiction,-1,1282.905
11,272883,1970-02-19,M,Grand Est,53.0,35308880657,26-11-2013,7,5,4,1161,487.62,5131.62,TeleShop,57,5,Books,7,Fiction,1,1282.905
12,272028,1970-02-20,F,Paris,53.0,30629366844,8/1/2014,7,5,4,256,107.52,1131.52,Flagship store,57,5,Books,7,Fiction,1,282.88
13,274717,1970-02-21,M,Occitanie,53.0,14513789408,24-11-2011,7,5,2,791,166.11,1748.11,e-Shop,57,5,Books,7,Fiction,1,874.055
14,272821,1970-03-17,F,Brittany,53.0,87002355611,12/1/2013,7,5,2,781,164.01,1726.01,e-Shop,57,5,Books,7,Fiction,1,863.005
15,267379,1970-03-21,F,Auvergne-Rhône-Alpes,53.0,18331140958,4/1/2014,7,5,-1,-842,88.41,-930.41,TeleShop,57,5,Books,7,Fiction,-1,930.41
16,267379,1970-03-21,F,Auvergne-Rhône-Alpes,53.0,18331140958,2/1/2014,7,5,1,842,88.41,930.41,TeleShop,57,5,Books,7,Fiction,1,930.41
17,270450,1970-04-24,F,Brittany,52.0,28886882858,21-02-2011,7,5,2,1103,231.63,2437.63,TeleShop,57,5,Books,7,Fiction,1,1218.815
18,272555,1970-05-03,M,Paris,52.0,71976180879,16-11-2013,7,5,2,1432,300.72,3164.72,Flagship store,57,5,Books,7,Fiction,1,1582.36
19,268732,1970-05-06,M,Auvergne-Rhône-Alpes,52.0,5016742567,27-09-2013,7,5,2,319,66.99,704.99,TeleShop,57,5,Books,7,Fiction,1,352.495
